id,product_id,date,quantity,unit_price,region,rep
1,1,2024-01-05,2,1299.99,Nord,Alice
2,3,2024-01-07,5,49.99,Sud,Bob
3,6,2024-01-10,1,399.00,Est,Carol
4,2,2024-01-12,10,29.99,Nord,Alice
5,4,2024-01-15,1,649.00,Ouest,Dave
6,11,2024-01-18,3,199.00,Sud,Bob
7,7,2024-01-20,4,129.00,Nord,Alice
8,1,2024-02-02,1,1299.99,Est,Carol
9,6,2024-02-05,2,399.00,Sud,Bob
10,15,2024-02-08,8,44.99,Nord,Alice
11,4,2024-02-14,2,649.00,Nord,Alice
12,11,2024-02-19,1,199.00,Ouest,Dave
13,2,2024-02-22,15,29.99,Est,Carol
14,7,2024-02-25,6,129.00,Sud,Bob
15,14,2024-03-01,3,89.00,Nord,Alice
16,1,2024-03-04,1,1299.99,Sud,Bob
17,6,2024-03-10,3,399.00,Nord,Alice
18,12,2024-03-15,20,14.99,Est,Carol
19,13,2024-03-18,12,24.99,Ouest,Dave
20,11,2024-03-22,2,199.00,Nord,Alice
